location,lat,lng
"Thorp, Washington, WA, United States, US",47.0656,-120.6709
"Artondale, Washington, WA, United States, US",47.3024,-122.639
"Liberty Lake, Washington, WA, United States, US",47.6687,-117.1032
"Cheney, Washington, WA, United States, US",47.4901,-117.5789
"Sammamish, Washington, WA, United States, US",47.6019,-122.0419
"Cle Elum, Washington, WA, United States, US",47.1946,-120.9553
"Fern Prairie, Washington, WA, United States, US",45.637,-122.3963
"Waverly, Washington, WA, United States, US",47.338,-117.2312
"Lakewood, Washington, WA, United States, US",47.1628,-122.5299
"Lake Marcel-Stillwater, Washington, WA, United States, US",47.6926,-121.9152
"Central Park, Washington, WA, United States, US",46.9705,-123.7018
"Bridgeport, Washington, WA, United States, US",48.0063,-119.6737
"Raft Island, Washington, WA, United States, US",47.3293,-122.6686
"Larch Way, Washington, WA, United States, US",47.8429,-122.2527
"Lake Bosworth, Washington, WA, United States, US",48.0532,-121.9812
"Barberton, Washington, WA, United States, US",45.7136,-122.6114
"Sekiu, Washington, WA, United States, US",48.2637,-124.3012
"Brier, Washington, WA, United States, US",47.7922,-122.2734
"Spokane, Washington, WA, United States, US",47.6671,-117.433
"Fall City, Washington, WA, United States, US",47.5717,-121.9134
"Pasco, Washington, WA, United States, US",46.2506,-119.1303
"Lyman, Washington, WA, United States, US",48.523,-122.0634
"Oakville, Washington, WA, United States, US",46.8403,-123.2333
"Dash Point, Washington, WA, United States, US",47.3131,-122.4153
"Herron Island, Washington, WA, United States, US",47.2645,-122.8348
"West Clarkston-Highland, Washington, WA, United States, US",46.4023,-117.063
"Royal City, Washington, WA, United States, US",46.9,-119.6142
"Venersborg, Washington, WA, United States, US",45.786,-122.4721
"Hoquiam, Washington, WA, United States, US",46.9863,-123.9023
"Willapa, Washington, WA, United States, US",46.6755,-123.6648
"Quilcene, Washington, WA, United States, US",47.8369,-122.9058
"Freeland, Washington, WA, United States, US",48.0185,-122.5358
"McCleary, Washington, WA, United States, US",47.0584,-123.2723
"Roosevelt, Washington, WA, United States, US",45.7476,-120.2161
"Long Beach, Washington, WA, United States, US",46.3559,-124.0556
"Trout Lake, Washington, WA, United States, US",45.9976,-121.5291
"Coulee Dam, Washington, WA, United States, US",47.9688,-118.9761
"Swede Heaven, Washington, WA, United States, US",48.2829,-121.7136
"Pine Grove, Washington, WA, United States, US",48.6502,-118.6834
"Langley, Washington, WA, United States, US",48.0337,-122.4084
"Sedro-Woolley, Washington, WA, United States, US",48.5113,-122.2321
"Hatton, Washington, WA, United States, US",46.7735,-118.8277
"Entiat, Washington, WA, United States, US",47.678,-120.2175
"Bainbridge Island, Washington, WA, United States, US",47.6439,-122.5434
"Auburn, Washington, WA, United States, US",47.3041,-122.211
"Ocean City, Washington, WA, United States, US",47.0763,-124.162
"White Swan, Washington, WA, United States, US",46.3769,-120.7382
"Felida, Washington, WA, United States, US",45.7138,-122.7103
"Lacey, Washington, WA, United States, US",47.0458,-122.7934
"Gold Bar, Washington, WA, United States, US",47.8566,-121.6927
"Clyde Hill, Washington, WA, United States, US",47.6303,-122.218
"Upper Elochoman, Washington, WA, United States, US",46.2403,-123.3247
"Marcus, Washington, WA, United States, US",48.6642,-118.0601
"Canyon Creek, Washington, WA, United States, US",48.1157,-121.9831
"Malone, Washington, WA, United States, US",46.9779,-123.3035
"Bothell East, Washington, WA, United States, US",47.8064,-122.1844
"Yarrow Point, Washington, WA, United States, US",47.6452,-122.2179
"Steptoe, Washington, WA, United States, US",47.0075,-117.3502
"West Richland, Washington, WA, United States, US",46.3115,-119.3997
"Orient, Washington, WA, United States, US",48.8637,-118.2059
"Federal Way, Washington, WA, United States, US",47.309,-122.3359
"Pe Ell, Washington, WA, United States, US",46.5712,-123.2982
"Deep River, Washington, WA, United States, US",46.3521,-123.6984
"Bothell, Washington, WA, United States, US",47.7736,-122.2044
